"id","created_at","updated_at","main_theme","theme","weight","ordering","description","specialization"
13,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.828 +0300,Технические скиллы,Архитектура приложений,3,13,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1404&t=P4JEJQvDzqk9FBt5-4,Python
2,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.751 +0300,Технические скиллы,Git,3,2,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-362&t=P4JEJQvDzqk9FBt5-4,Python
3,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.761 +0300,Технические скиллы,AI-инструментарий,3,3,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-164&t=P4JEJQvDzqk9FBt5-4,Python
4,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.769 +0300,Технические скиллы,Продвинутый Python,14,4,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-412&t=P4JEJQvDzqk9FBt5-4,Python
5,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.771 +0300,Технические скиллы,Алгоритмы и структуры данных,4,5,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-717&t=P4JEJQvDzqk9FBt5-4,Python
17,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.859 +0300,Скиллы для устройства на работу,Составление резюме + легенды,7,17,Запишись на составление легенды и резюме к своему тимлиду,Python
6,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.780 +0300,Технические скиллы,Базы данных,14,6,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-810&t=P4JEJQvDzqk9FBt5-4,Python
7,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.782 +0300,Технические скиллы,Тестирование,4,7,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1619&t=P4JEJQvDzqk9FBt5-4,Python
8,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.791 +0300,Технические скиллы,Инфраструктура,7,8,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1702&t=P4JEJQvDzqk9FBt5-4,Python
9,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.800 +0300,Технические скиллы,Backend Фреймворки,14,9,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2212&t=P4JEJQvDzqk9FBt5-4,Python
10,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.808 +0300,Технические скиллы,Подготовка к проектам,1,10,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2&t=P4JEJQvDzqk9FBt5-4,Python
11,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.811 +0300,Технические скиллы,Проект на Django,7,11,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2799&t=P4JEJQvDzqk9FBt5-4,Python
12,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.820 +0300,Технические скиллы,Архитектура кода,3,12,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1261&t=P4JEJQvDzqk9FBt5-4,Python
1,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.674 +0300,Технические скиллы,Основы Python,14,1,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-174&t=P4JEJQvDzqk9FBt5-4,Python
14,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.830 +0300,Технические скиллы,Проект на FastAPI,7,14,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2733&t=P4JEJQvDzqk9FBt5-4,Python
15,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.840 +0300,Технические скиллы,Основы ML,2,15,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2565&t=P4JEJQvDzqk9FBt5-4,Python
16,2025-02-10 17:48:21.750 +0300,2025-02-10 17:48:21.849 +0300,Технические скиллы,Юридические знания,1,16,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-154&t=P4JEJQvDzqk9FBt5-4,Python
18,2026-02-24 00:41:06.577 +0300,2026-02-24 00:41:06.603 +0300,Скиллы для устройства на работу,Поиск работы,30,18,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-35&t=P4JEJQvDzqk9FBt5-4,Python
