"id","created_at","updated_at","name","additional_names"
182,2025-09-19 12:40:29.979 +0300,2025-09-22 13:00:18.701 +0300,IRLIX аутстафф,{IRLIX}
186,2025-09-23 07:16:57.918 +0300,2025-09-23 07:16:57.918 +0300,Элстар,{}
187,2025-09-23 13:51:27.324 +0300,2025-09-23 13:51:27.324 +0300,газпром,{}
15,2025-08-05 11:40:56.144 +0300,2025-09-23 17:49:27.764 +0300,т-банк,"{тбанк,Т-банк,т банк,Тбанк,Т-ба}"
189,2025-09-23 17:55:35.592 +0300,2025-09-23 17:55:35.592 +0300,Все адвокаты,{}
156,2025-09-11 20:14:52.470 +0300,2025-09-23 19:11:16.811 +0300,сбербанк,{Сбербанк}
170,2025-09-18 13:02:27.493 +0300,2025-09-23 22:36:27.023 +0300,METASCAN,{metascan}
190,2025-09-24 12:02:42.899 +0300,2025-09-24 12:02:42.899 +0300,БРИКСО,{}
193,2025-09-24 16:14:32.493 +0300,2025-09-24 16:54:36.179 +0300,ВСК САО,{ВСК}
194,2025-09-24 17:50:05.866 +0300,2025-09-24 17:50:05.866 +0300,линсофтверпродакшн,{}
197,2025-09-25 14:16:35.484 +0300,2025-09-25 14:16:35.484 +0300,usetech,{}
198,2025-09-25 15:00:34.339 +0300,2025-09-25 15:00:34.339 +0300,inspector Cloud,{}
201,2025-09-26 13:31:21.018 +0300,2025-09-26 13:31:21.018 +0300,Teamidea,{}
144,2025-09-10 21:18:24.779 +0300,2026-03-03 11:32:53.578 +0300,Lachevsky Group,"{lachevsky group,lachevsky}"
203,2025-09-26 15:04:42.798 +0300,2025-09-26 15:04:42.798 +0300,"2UP",{}
205,2025-09-26 17:21:54.141 +0300,2025-09-26 17:21:54.141 +0300,Тензор,{}
206,2025-09-26 17:28:57.106 +0300,2025-09-26 17:28:57.106 +0300,университет ИТМО,{}
207,2025-09-26 17:55:12.578 +0300,2025-09-26 17:55:12.578 +0300,Атом Безопасность,{}
97,2025-09-02 14:05:13.937 +0300,2026-03-12 22:30:14.746 +0300,райффайзен,"{райф,Райфайзен,Райффайзен,райфайзен,Райф,райфайзенбанк}"
213,2025-09-30 20:56:57.410 +0300,2025-09-30 20:56:57.410 +0300,Медиалогия,{}
217,2025-10-01 16:03:51.753 +0300,2025-10-01 16:03:51.753 +0300,CORE,{}
218,2025-10-01 18:21:24.972 +0300,2025-10-01 18:21:24.972 +0300,Employcity,{}
219,2025-10-02 11:53:19.267 +0300,2025-10-02 11:53:19.267 +0300,VS Robotics,{}
221,2025-10-02 14:47:21.071 +0300,2025-10-02 14:47:21.071 +0300,окко,{}
222,2025-10-02 14:52:32.936 +0300,2025-10-02 17:11:27.404 +0300,Innovative People,{innov}
223,2025-10-02 17:21:07.413 +0300,2025-10-02 17:21:07.413 +0300,GSL Law & Consulting,{}
224,2025-10-02 17:54:16.768 +0300,2025-10-02 17:54:16.768 +0300,Ximi Lab,{}
225,2025-10-03 14:16:25.921 +0300,2025-10-03 14:16:25.921 +0300,Manzanagroup,{}
226,2025-10-03 14:22:07.499 +0300,2025-10-03 14:22:07.499 +0300,Talantix,{}
227,2025-10-03 15:21:15.687 +0300,2025-10-03 15:21:15.687 +0300,tutu,{}
228,2025-10-03 15:27:27.448 +0300,2025-10-03 15:27:27.448 +0300,SL Soft,{}
214,2025-10-01 12:12:35.385 +0300,2025-10-16 14:50:41.746 +0300,Бюро 1440,"{бюро,Бюро,бюро 1440}"
121,2025-09-05 18:03:38.309 +0300,2025-10-28 17:16:58.509 +0300,NtechLab,"{Ntechlab,ntechlab,Nedra}"
104,2025-09-03 18:13:42.641 +0300,2025-10-14 13:31:55.315 +0300,Сбер для экспертов,"{Сбер,сбер для экспертов}"
176,2025-09-18 19:55:04.540 +0300,2025-10-15 20:00:11.210 +0300,юзтех,{ЮЗТЕХ}
212,2025-09-30 16:11:33.720 +0300,2025-10-24 20:51:37.224 +0300,OSLA,{Osla}
153,2025-09-11 13:45:34.159 +0300,2026-06-06 01:09:27.774 +0300,Brandquad,"{brandquad,bradquot}"
160,2025-09-15 20:26:21.647 +0300,2025-11-19 17:58:26.721 +0300,Мечел,{мечел}
143,2025-09-10 18:02:38.130 +0300,2025-12-12 16:50:48.915 +0300,БАЗИС,"{Базис,базис}"
216,2025-10-01 14:29:23.686 +0300,2025-12-05 17:47:36.543 +0300,Авито,{avito}
173,2025-09-18 18:29:50.900 +0300,2025-12-08 13:23:44.555 +0300,ООО Платформа Трим,{ооо платформа трим}
192,2025-09-24 15:26:49.099 +0300,2026-03-18 14:16:33.298 +0300,Бэлл интегратор,"{Бэлл,Бэлл Интегратор,bell integrator,белл интегратор}"
122,2025-09-08 12:52:45.487 +0300,2026-02-13 21:45:52.880 +0300,Точка,"{точка,точка банк}"
215,2025-10-01 13:16:33.474 +0300,2026-03-11 18:01:05.653 +0300,Snap IT,"{SNAP IT,snap it,snapit}"
174,2025-09-18 19:42:16.989 +0300,2026-02-19 16:43:50.164 +0300,Санлайт,{санлайт}
163,2025-09-16 14:50:44.178 +0300,2026-02-27 11:47:05.610 +0300,РТ Лабс,"{РТЛабс,рт лабс,ртлабс}"
147,2025-09-11 11:50:29.629 +0300,2026-03-09 20:31:26.278 +0300,it one,"{it_one,it-one}"
169,2025-09-17 20:57:23.327 +0300,2026-04-27 18:35:31.054 +0300,Айти бастион,{ак}
191,2025-09-24 12:45:28.791 +0300,2026-05-16 12:57:02.721 +0300,Koronatech,"{koronatech,korona}"
211,2025-09-29 23:44:18.914 +0300,2026-06-23 19:42:48.659 +0300,М.Видео-Эльдорадо,{м видео}
152,2025-09-11 13:39:25.467 +0300,2026-07-24 16:18:46.954 +0300,Озон,"{ozon.tech,ozon банк}"
229,2025-10-04 14:04:08.641 +0300,2025-10-04 14:04:08.641 +0300,InsiderLabs,{}
231,2025-10-06 15:58:58.462 +0300,2025-10-06 15:58:58.462 +0300,Standfin,{}
204,2025-09-26 16:08:28.310 +0300,2025-10-07 11:02:43.478 +0300,монитор софт,{монитор}
234,2025-10-07 15:15:45.543 +0300,2025-10-07 15:15:45.543 +0300,CoIT,{}
236,2025-10-07 17:14:26.452 +0300,2025-10-07 17:14:26.452 +0300,Лоция,{}
238,2025-10-08 13:28:12.594 +0300,2025-10-08 13:28:12.594 +0300,IT-Thematic,{}
239,2025-10-09 14:47:56.326 +0300,2025-10-09 14:47:56.326 +0300,ИВИ,{}
240,2025-10-09 16:40:01.548 +0300,2025-10-09 16:40:01.548 +0300,"Инновационного центра ""Безопасный транспорт""",{}
241,2025-10-09 17:00:32.924 +0300,2025-10-09 17:00:32.924 +0300,иннополис,{}
242,2025-10-09 17:59:05.981 +0300,2025-10-09 17:59:05.981 +0300,ООО АБТ,{}
243,2025-10-09 18:23:42.853 +0300,2025-10-09 18:23:42.853 +0300,Купикод,{}
244,2025-10-09 18:26:22.077 +0300,2025-10-09 18:26:22.077 +0300,Dataspike,{}
246,2025-10-10 12:08:04.293 +0300,2025-10-10 12:08:04.293 +0300,АБК / VS Robotics,{}
249,2025-10-10 15:33:47.144 +0300,2025-10-10 15:33:47.144 +0300,firecode,{}
251,2025-10-13 15:32:47.375 +0300,2025-10-13 15:33:12.599 +0300,РИА Новости,{РИА}
252,2025-10-13 17:31:22.518 +0300,2025-10-13 17:31:22.518 +0300,ГК Митчел,{}
253,2025-10-13 18:42:51.521 +0300,2025-10-13 18:42:51.521 +0300,Leads,{}
254,2025-10-14 13:17:45.540 +0300,2025-10-14 13:17:45.540 +0300,Апартмент Системс,{}
295,2025-10-23 14:27:41.821 +0300,2025-10-23 14:27:41.821 +0300,Вертикаль,{}
255,2025-10-14 13:31:26.348 +0300,2025-10-14 13:31:26.348 +0300,devhunt,{}
258,2025-10-15 11:37:51.774 +0300,2025-10-15 11:37:51.774 +0300,Детский хоспис Дом с маяком,{}
259,2025-10-15 11:42:36.201 +0300,2025-10-15 11:42:36.201 +0300,ГК Пионер,{}
261,2025-10-15 12:25:29.961 +0300,2025-10-15 12:25:29.961 +0300,ООО HeadHunter,{}
285,2025-10-20 17:25:48.837 +0300,2026-04-28 15:44:14.435 +0300,НТВ,{нтв}
263,2025-10-15 16:42:42.697 +0300,2025-10-15 16:42:42.697 +0300,stellar card,{}
264,2025-10-15 19:53:34.749 +0300,2025-10-15 19:53:34.749 +0300,Гибрид,{}
266,2025-10-16 15:54:39.687 +0300,2025-10-16 15:54:39.687 +0300,Холдем,{}
267,2025-10-16 16:00:41.900 +0300,2025-10-16 16:00:41.900 +0300,ГРЧЦ,{}
270,2025-10-16 19:41:47.990 +0300,2025-10-16 19:41:47.990 +0300,ООО Р-Вижн,{}
273,2025-10-17 10:52:28.318 +0300,2025-10-17 10:52:28.318 +0300,Градус,{}
274,2025-10-17 11:43:59.747 +0300,2025-10-17 11:43:59.747 +0300,газпром мобильные компрессорные станции,{}
296,2025-10-23 14:30:54.157 +0300,2025-10-23 14:30:54.157 +0300,Evrone,{}
275,2025-10-17 12:16:40.077 +0300,2025-10-17 12:16:40.077 +0300,SkillStaff,{}
271,2025-10-16 20:18:44.985 +0300,2025-10-17 13:00:14.895 +0300,БИОС,{биос}
276,2025-10-17 13:41:46.661 +0300,2025-10-17 13:41:46.661 +0300,Betby,{}
278,2025-10-17 17:08:34.242 +0300,2025-10-17 17:08:34.242 +0300,"ООО ""Платежное решение""",{}
279,2025-10-17 17:34:53.830 +0300,2025-10-17 17:34:53.830 +0300,Extyl,{}
280,2025-10-18 11:20:33.677 +0300,2025-10-18 11:20:33.677 +0300,ООО 1С-КПД,{}
281,2025-10-18 11:28:52.226 +0300,2025-10-18 11:28:52.226 +0300,RedLab,{}
202,2025-09-26 15:04:01.545 +0300,2025-10-18 12:38:18.647 +0300,PESCO Information Technologies,"{PESCO,Pesco,pesco}"
283,2025-10-20 16:53:35.263 +0300,2025-10-20 16:53:35.263 +0300,Rubytech,{}
291,2025-10-22 11:42:47.085 +0300,2025-12-18 18:00:13.087 +0300,HolyWeb,{holyweb}
289,2025-10-21 18:55:02.725 +0300,2025-10-21 18:55:02.725 +0300,Русклимат,{}
290,2025-10-21 19:09:02.981 +0300,2025-10-21 19:09:02.981 +0300,Сколтех,{}
256,2025-10-14 16:34:12.383 +0300,2025-12-08 17:38:36.336 +0300,Алабуга,{алабуга}
286,2025-10-21 15:11:07.696 +0300,2026-04-16 15:25:15.753 +0300,Freedom Lifestyle,{freedom lifestyle}
233,2025-10-07 12:26:18.592 +0300,2026-02-19 13:51:05.028 +0300,ДелоТех,{delotech}
298,2025-10-23 14:56:14.667 +0300,2025-10-23 14:56:14.667 +0300,ООО РА Дельта,{}
300,2025-10-23 15:37:22.878 +0300,2025-10-23 15:37:22.878 +0300,domeo,{}
301,2025-10-23 15:55:35.892 +0300,2025-10-23 15:55:35.892 +0300,Глобал Консалтинг Групп,{}
302,2025-10-23 17:00:30.974 +0300,2025-10-23 17:00:30.974 +0300,GigaChat,{}
304,2025-10-24 11:30:38.582 +0300,2025-10-24 11:30:38.582 +0300,Rambler&CO,{}
305,2025-10-24 12:45:21.123 +0300,2025-10-24 12:45:21.123 +0300,Госуслуги,{}
306,2025-10-24 13:24:53.212 +0300,2025-10-24 13:24:53.212 +0300,Philip Morris,{}
307,2025-10-24 14:13:22.691 +0300,2025-10-24 14:13:22.691 +0300,фингуляр,{}
260,2025-10-15 12:18:56.182 +0300,2025-10-24 20:47:34.158 +0300,"8labs",{8Labs}
308,2025-10-25 00:32:52.913 +0300,2025-10-25 00:32:52.913 +0300,Zavod Games,{}
309,2025-10-25 00:36:11.517 +0300,2025-10-25 00:36:11.517 +0300,ООО Монитор Софт,{}
311,2025-10-25 00:42:33.341 +0300,2025-10-25 00:42:33.341 +0300,Raft,{}
315,2025-10-27 17:58:43.430 +0300,2025-10-27 17:58:43.430 +0300,MVP Project,{}
293,2025-10-23 14:17:13.408 +0300,2025-10-31 10:55:05.205 +0300,WILIX,{wilix}
230,2025-10-06 12:38:49.888 +0300,2025-10-31 11:41:45.325 +0300,Экопси,{ЭКОПСИ}
262,2025-10-15 12:59:14.520 +0300,2025-11-24 16:07:32.912 +0300,Красное & Белое,{Красное и белое}
268,2025-10-16 18:14:39.312 +0300,2025-12-08 13:52:17.725 +0300,FIX,{fix}
299,2025-10-23 15:23:03.128 +0300,2026-03-20 14:48:12.725 +0300,MAGNIT TECH,"{magnit tech,магнит tech}"
257,2025-10-15 11:34:20.678 +0300,2026-06-05 15:37:10.096 +0300,VICTORY group,{victor}
310,2025-10-25 00:40:10.680 +0300,2026-01-15 19:49:34.076 +0300,TargetADS,{таргет адс}
245,2025-10-09 18:34:27.187 +0300,2025-12-12 20:11:42.903 +0300,Тс Табрис,"{Табрис,ТС Табрис,табрис}"
287,2025-10-21 16:47:05.802 +0300,2025-12-25 16:54:02.703 +0300,aston,{астон}
277,2025-10-17 13:53:25.228 +0300,2026-03-02 12:43:42.549 +0300,AYA Group,{aya group}
297,2025-10-23 14:31:17.067 +0300,2026-03-07 20:40:34.949 +0300,HR Mosaic,"{HR,hr-mosaic,hr mosaic}"
265,2025-10-15 20:10:03.526 +0300,2026-04-02 17:42:32.741 +0300,Дивергент,"{дивергент,дивиргент}"
250,2025-10-12 11:07:37.620 +0300,2026-03-25 13:20:42.695 +0300,Рунити,{рунити}
292,2025-10-23 12:37:25.894 +0300,2026-04-08 10:03:19.080 +0300,Тим Форс,"{ТИМ ФОРС,тим форс}"
199,2025-09-26 12:45:00.698 +0300,2026-05-14 17:30:35.614 +0300,Лига цифровой экономики,"{Лига Цифровой Эко,Лига Цифровой Экономики,лига цифровой экономики,лига цифровой,лиги цифровой экономики}"
312,2025-10-25 12:49:04.345 +0300,2025-10-25 12:49:04.345 +0300,SSP SOFT,{}
319,2025-10-28 12:37:09.183 +0300,2025-10-28 12:37:09.183 +0300,РВД Инфосистемы,{}
303,2025-10-23 21:16:19.051 +0300,2025-10-27 16:17:36.366 +0300,Магнит,{магнит}
317,2025-10-27 23:30:18.517 +0300,2025-10-27 23:30:18.517 +0300,Okko,{}
316,2025-10-27 23:23:18.843 +0300,2025-12-09 15:45:06.490 +0300,NUTSon,{nutson}
313,2025-10-27 11:52:39.684 +0300,2025-12-15 21:54:29.765 +0300,Эвотор,{эвотор}
